job-id,job-title,job-listing-date,job-url,job-location-state,job-location-city,job-location-area,job-location-suburb,job-advertiser,job-advertiser-email,job-advertiser-phone,job-classification,job-sub-classification,job-citizenship-required
51533898,Senior Data Analyst,2021-02-15 02:58:45,https://www.seek.com.au/job/51533898,New South Wales,Dubbo & Central NSW,,dubbo,Western NSW PHN,Yes,Yes,Information & Communication Technology,Business/Systems Analysts,
51525862,Senior Data Analyst,2021-02-12 10:32:17,https://www.seek.com.au/job/51525862,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Hudson,Yes,,Information & Communication Technology,Business/Systems Analysts,
51522967,Senior Data Analyst,2021-02-12 05:00:07,https://www.seek.com.au/job/51522967,Victoria,Melbourne,,,Evolve Scientific Recruitment,,Yes,Information & Communication Technology,Developers/Programmers,
51513009,Data Analyst | Permanent,2021-02-11 05:41:46,https://www.seek.com.au/job/51513009,Victoria,Melbourne,Eastern Suburbs,,Robert Half,,Yes,Information & Communication Technology,Business/Systems Analysts,
51512898,Senior Data Analyst,2021-02-11 05:32:40,https://www.seek.com.au/job/51512898,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Peoplebank,Yes,,Information & Communication Technology,Database Development & Administration,
51510569,Senior Data Analyst,2021-02-11 03:15:44,https://www.seek.com.au/job/51510569,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",therocks,Northbridge Recruitment,Yes,Yes,Government & Defence,Government - State,Yes
51500251,Senior Data Analyst,2021-02-10 03:26:43,https://www.seek.com.au/job/51500251,New South Wales,Sydney,,,Precision Sourcing,,,Science & Technology,Modelling & Simulation,
51493760,Senior Data Analyst - Payroll,2021-02-09 09:45:35,https://www.seek.com.au/job/51493760,Western Australia,Perth,"CBD, Inner & Western Suburbs",perth,FourQuarters Recruitment,,,Information & Communication Technology,Other,
51486628,Senior Data Analyst,2021-02-09 00:58:41,https://www.seek.com.au/job/51486628,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Talent Resources Consulting,,,Information & Communication Technology,Business/Systems Analysts,
51482360,Senior Data Analyst,2021-02-08 08:30:37,https://www.seek.com.au/job/51482360,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",macquariepark,Transport for NSW,,,Government & Defence,Government - State,
51467993,Senior Data Analyst,2021-02-05 05:02:36,https://www.seek.com.au/job/51467993,Victoria,Melbourne,Northern Suburbs,brunswick,nura,,,Information & Communication Technology,Business/Systems Analysts,
51452611,Junior/Mid/Senior Data Analyst - Multiple Roles - Immediate Start,2021-02-04 00:20:55,https://www.seek.com.au/job/51452611,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Talent Resources Consulting,,,Information & Communication Technology,Developers/Programmers,
51447404,Senior Data Analyst,2021-02-03 05:33:08,https://www.seek.com.au/job/51447404,New South Wales,Sydney,,,Enterprise IT Resources,,,Information & Communication Technology,Engineering - Software,
51445655,Senior Data Analysts x 2 positions,2021-02-03 03:53:47,https://www.seek.com.au/job/51445655,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Hays Recruitment,,,Information & Communication Technology,Business/Systems Analysts,
51443088,Senior Data Analyst,2021-02-03 01:20:05,https://www.seek.com.au/job/51443088,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,GMT People,,Yes,Information & Communication Technology,Business/Systems Analysts,
51440502,Data Analyst / Senior Data Analyst - multiple roles,2021-02-02 22:46:31,https://www.seek.com.au/job/51440502,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Charterhouse,,,Information & Communication Technology,Business/Systems Analysts,
51437319,Senior Data Analyst,2021-02-02 06:14:23,https://www.seek.com.au/job/51437319,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Versent,Yes,,Information & Communication Technology,Database Development & Administration,
51436738,Senior Data Analyst,2021-02-02 05:38:36,https://www.seek.com.au/job/51436738,Victoria,Melbourne,,docklands,Recruitment Hive,,,Information & Communication Technology,Computer Operators,
